Date;Szczecinek;Szczecin;Koszalin
2020-01-01;21.8;49.9;24.9
2020-01-02;22.0;36.1;28.7
2020-01-03;13.6;18.1;14.9
2020-01-04;11.6;14.7;12.0
2020-01-05;12.0;21.4;12.7
2020-01-06;16.0;22.1;21.1
2020-01-07;25.9;31.2;27.7
2020-01-08;18.0;23.9;17.5
2020-01-09;22.0;21.2;15.5
2020-01-10;10.0;18.1;9.8
2020-01-11;5.6;12.9;8.6
2020-01-12;12.9;15.2;14.6
2020-01-13;10.5;18.7;12.9
2020-01-14;19.8;25.9;14.9
2020-01-15;14.5;27.2;11.1
2020-01-16;18.0;30.9;12.9
2020-01-17;46.3;39.9;32.4
2020-01-18;26.7;25.0;23.8
2020-01-19;20.0;24.5;19.8
2020-01-20;17.2;40.5;17.4
2020-01-21;21.8;43.9;23.5
2020-01-22;14.7;18.5;14.2
2020-01-23;13.2;22.9;12.0
2020-01-24;21.2;39.0;16.7
2020-01-25;11.4;26.3;11.3
2020-01-26;8.9;18.9;12.9
2020-01-27;30.5;25.3;
2020-01-28;24.5;38.8;18.9
2020-01-29;6.3;19.2;6.9
2020-01-30;10.5;17.6;11.1
2020-01-31;12.2;15.8;19.6
2020-02-01;6.3;18.5;10.6
2020-02-02;12.0;18.4;14.9
2020-02-03;17.1;41.2;17.6
2020-02-04;12.7;14.5;14.4
2020-02-05;6.9;14.5;7.5
2020-02-06;11.2;17.1;15.3
2020-02-07;22.3;25.9;14.2
2020-02-08;30.7;33.2;20.6
2020-02-09;25.2;28.1;20.6
2020-02-10;6.9;13.6;8.2
2020-02-11;7.8;17.4;8.2
2020-02-12;9.8;13.6;10.2
2020-02-13;18.5;27.6;16.2
2020-02-14;39.2;42.5;39.3
2020-02-15;25.8;35.9;19.8
2020-02-16;11.1;13.2;9.6
2020-02-17;8.5;41.2;10.0
2020-02-18;9.4;25.0;10.9
2020-02-19;10.5;20.5;11.8
2020-02-20;15.4;44.6;15.5
2020-02-21;14.3;20.1;14.6
2020-02-22;12.0;21.4;10.9
2020-02-23;8.0;9.4;10.4
2020-02-24;10.2;23.9;14.2
2020-02-25;7.3;27.9;7.3
2020-02-26;9.3;21.2;6.9
2020-02-27;7.3;10.9;
2020-02-28;15.4;34.6;15.1
2020-02-29;18.0;20.3;15.3
2020-03-01;8.9;9.4;9.5
2020-03-02;28.3;26.7;19.3
2020-03-03;41.4;30.8;24.2
2020-03-04;14.2;42.6;18.4
2020-03-05;29.0;25.1;
2020-03-06;36.1;29.9;23.5
2020-03-07;24.1;18.7;17.6
2020-03-08;16.7;25.6;18.4
2020-03-09;27.9;24.6;
2020-03-10;15.2;36.8;13.6
2020-03-11;8.9;18.3;13.6
2020-03-12;8.3;16.9;10.7
2020-03-13;10.0;19.4;10.4
2020-03-14;19.2;16.1;9.3
2020-03-15;18.7;14.0;12.0
2020-03-16;25.8;33.2;18.2
2020-03-17;26.5;46.3;24.2
2020-03-18;28.1;31.9;19.5
2020-03-19;18.5;29.6;18.6
2020-03-20;17.6;39.0;20.7
2020-03-21;7.8;10.7;4.9
2020-03-22;7.6;7.2;6.2
2020-03-23;19.1;22.9;15.1
2020-03-24;43.9;41.9;22.2
2020-03-25;38.8;37.0;26.6
2020-03-26;43.9;38.3;26.7
2020-03-27;66.8;57.9;44.0
2020-03-28;60.0;59.1;52.4
2020-03-29;22.3;11.1;
2020-03-30;4.2;14.0;11.3
2020-03-31;5.1;12.5;6.7
2020-04-01;10.9;19.2;11.6
2020-04-02;12.0;20.1;13.6
2020-04-03;18.0;18.0;16.2
2020-04-04;16.9;19.8;17.5
2020-04-05;19.6;22.9;11.5
2020-04-06;38.3;41.9;23.5
2020-04-07;32.5;36.1;29.8
2020-04-08;26.0;22.9;
2020-04-09;26.1;27.8;24.2
2020-04-10;13.4;25.4;18.2
2020-04-11;16.9;29.4;19.5
2020-04-12;15.6;18.5;15.6
2020-04-13;19.6;15.1;14.9
2020-04-14;10.9;12.2;9.5
2020-04-15;22.9;22.5;20.6
2020-04-16;18.9;25.8;18.4
2020-04-17;12.0;21.4;12.7
2020-04-18;12.7;13.8;10.2
2020-04-19;8.3;9.2;9.1
2020-04-20;13.1;14.7;6.7
2020-04-21;14.9;15.2;8.7
2020-04-22;18.9;18.9;11.5
2020-04-23;23.2;35.0;17.6
2020-04-24;22.9;35.6;20.4
2020-04-25;13.2;13.1;7.8
2020-04-26;10.7;12.5;8.2
2020-04-27;23.9;29.9;16.0
2020-04-28;28.1;33.0;23.8
2020-04-29;19.3;14.3;13.8
2020-04-30;24.1;22.1;17.1
2020-05-01;14.5;8.5;11.5
2020-05-02;12.2;11.6;12.2
2020-05-03;11.6;12.3;16.2
2020-05-04;14.7;20.5;16.2
2020-05-05;11.4;10.0;5.8
2020-05-06;9.6;14.5;10.4
2020-05-07;12.7;20.0;19.6
2020-05-08;13.6;25.2;16.7
2020-05-09;16.5;30.5;22.0
2020-05-10;19.8;19.8;13.8
2020-05-11;8.9;11.8;5.5
2020-05-12;7.4;11.8;8.0
2020-05-13;22.7;13.8;5.8
2020-05-14;9.1;13.1;10.2
2020-05-15;15.1;10.7;
2020-05-16;9.2;11.4;10.6
2020-05-17;8.3;8.5;8.4
2020-05-18;11.4;16.1;11.8
2020-05-19;11.6;16.5;11.5
2020-05-20;8.3;18.3;10.2
2020-05-21;14.9;18.0;6.5
2020-05-22;12.9;20.9;8.6
2020-05-23;14.5;20.0;11.6
2020-05-24;10.7;11.8;14.0
2020-05-25;6.3;15.6;8.9
2020-05-26;11.8;21.8;9.1
2020-05-27;10.3;21.1;10.2
2020-05-28;11.1;18.5;8.4
2020-05-29;10.0;18.9;6.5
2020-05-30;8.3;14.0;7.1
2020-05-31;12.9;27.2;11.1
2020-06-01;13.8;25.9;8.6
2020-06-02;14.3;24.1;10.6
2020-06-03;25.4;24.3;13.8
2020-06-04;23.6;29.2;15.3
2020-06-05;16.1;16.9;11.7
2020-06-06;11.6;13.6;9.3
2020-06-07;12.3;15.1;11.1
2020-06-08;11.4;17.2;11.5
2020-06-09;12.9;22.7;10.2
2020-06-10;16.3;22.7;11.7
2020-06-11;17.1;28.7;18.9
2020-06-12;22.3;30.8;18.4
2020-06-13;25.0;29.4;17.1
2020-06-14;12.7;18.1;12.6
2020-06-15;16.9;25.0;13.8
2020-06-16;26.1;16.0;
2020-06-17;35.6;17.5;
2020-06-18;16.3;27.8;14.0
2020-06-19;21.2;17.2;14.0
2020-06-20;16.7;11.6;13.8
2020-06-21;18.3;16.1;17.1
2020-06-22;11.4;10.9;
2020-06-23;16.5;17.5;17.6
2020-06-24;18.0;26.0;14.0
2020-06-25;25.8;27.0;16.2
2020-06-26;29.4;29.2;17.8
2020-06-27;20.3;27.9;16.7
2020-06-28;20.7;21.8;18.9
2020-06-29;33.0;30.3;11.8
2020-06-30;18.5;31.9;17.5
2020-07-01;14.9;25.8;12.9
2020-07-02;10.9;19.2;12.7
2020-07-03;12.2;18.0;12.7
2020-07-04;14.5;25.0;14.6
2020-07-05;10.9;11.1;10.4
2020-07-06;12.5;16.9;14.4
2020-07-07;13.6;20.0;14.7
2020-07-08;12.3;15.2;8.4
2020-07-09;14.0;34.8;11.5
2020-07-10;13.2;25.0;10.4
2020-07-11;12.5;11.4;11.3
2020-07-12;11.6;9.6;10.6
2020-07-13;14.2;14.2;11.8
2020-07-14;19.4;32.3;14.4
2020-07-15;18.7;23.0;16.0
2020-07-16;13.4;8.6;
2020-07-17;21.2;10.7;
2020-07-18;20.7;23.0;16.0
2020-07-19;21.8;22.7;15.7
2020-07-20;16.9;19.4;14.6
2020-07-21;10.0;12.3;11.1
2020-07-22;8.7;13.8;9.1
2020-07-23;9.4;18.7;8.7
2020-07-24;14.5;42.3;13.3
2020-07-25;12.7;20.0;7.6
2020-07-26;16.7;17.4;10.9
2020-07-27;17.8;34.5;9.8
2020-07-28;18.1;45.7;13.3
2020-07-29;14.0;28.3;12.7
2020-07-30;14.0;21.6;10.7
2020-07-31;14.0;24.9;11.5
2020-08-01;10.7;21.8;10.2
2020-08-02;18.7;26.3;13.5
2020-08-03;14.7;20.5;11.5
2020-08-04;10.7;23.4;10.4
2020-08-05;12.7;11.6;
2020-08-06;21.4;46.8;14.9
2020-08-07;44.3;46.1;20.2
2020-08-08;35.9;48.3;25.3
2020-08-09;31.6;44.1;21.3
2020-08-10;35.4;20.0;
2020-08-11;19.2;38.1;10.7
2020-08-12;17.2;33.9;10.2
2020-08-13;28.7;40.8;16.0
2020-08-14;36.5;21.1;
2020-08-15;28.9;45.9;21.3
2020-08-16;25.2;29.8;20.6
2020-08-17;30.3;31.8;16.7
2020-08-18;32.5;47.4;18.4
2020-08-19;20.9;21.1;13.3
2020-08-20;24.5;42.6;16.0
2020-08-21;27.9;18.9;
2020-08-22;19.4;24.7;16.6
2020-08-23;14.3;16.1;13.1
2020-08-24;11.6;22.1;11.1
2020-08-25;9.8;17.1;7.6
2020-08-26;10.0;19.2;7.8
2020-08-27;6.0;12.3;6.0
2020-08-28;16.5;27.2;11.3
2020-08-29;14.7;18.3;12.0
2020-08-30;14.5;24.3;12.9
2020-08-31;9.2;17.8;9.5
2020-09-01;9.6;18.9;9.3
2020-09-02;6.2;14.5;6.5
2020-09-03;7.6;20.0;7.5
2020-09-04;12.2;21.1;10.7
2020-09-05;12.9;18.1;11.8
2020-09-06;10.9;13.8;9.8
2020-09-07;9.8;18.7;10.6
2020-09-08;12.0;24.9;12.2
2020-09-09;11.1;24.7;11.5
2020-09-10;13.4;19.1;14.2
2020-09-11;20.0;42.1;13.8
2020-09-12;21.6;30.7;15.7
2020-09-13;13.8;16.1;12.0
2020-09-14;17.4;14.9;
2020-09-15;34.3;20.9;
2020-09-16;30.3;43.2;25.7
2020-09-17;10.7;18.0;10.2
2020-09-18;12.0;23.4;11.5
2020-09-19;20.9;23.0;11.5
2020-09-20;20.9;28.3;12.9
2020-09-21;32.7;43.5;19.5
2020-09-22;49.4;67.1;30.6
2020-09-23;49.7;70.2;34.6
2020-09-24;26.7;19.5;
2020-09-25;20.3;27.2;13.1
2020-09-26;14.9;15.2;13.3
2020-09-27;5.3;8.7;6.0
2020-09-28;15.2;22.9;9.3
2020-09-29;18.7;31.8;15.1
2020-09-30;15.6;29.6;14.9
2020-10-01;70.4;52.6;41.7
2020-10-02;43.2;77.3;25.7
2020-10-03;20.7;26.3;16.7
2020-10-04;19.1;14.3;14.9
2020-10-05;18.3;20.5;12.6
2020-10-06;12.0;21.9;7.8
2020-10-07;13.6;22.5;9.8
2020-10-08;12.2;25.9;10.7
2020-10-09;12.3;18.7;9.8
2020-10-10;9.6;17.1;10.0
2020-10-11;12.3;17.4;10.7
2020-10-12;15.8;25.6;15.1
2020-10-13;10.3;21.1;9.3
2020-10-14;7.4;10.2;6.4
2020-10-15;4.5;9.6;4.2
2020-10-16;6.0;13.8;8.7
2020-10-17;12.9;16.9;9.3
2020-10-18;6.5;12.3;8.0
2020-10-19;11.6;17.6;8.9
2020-10-20;27.4;31.2;16.9
2020-10-21;23.4;25.8;17.3
2020-10-22;21.6;34.6;16.2
2020-10-23;19.1;24.9;14.0
2020-10-24;13.4;17.8;16.0
2020-10-25;18.0;16.7;11.5
2020-10-26;41.2;35.2;30.4
2020-10-27;19.1;29.8;15.6
2020-10-28;14.3;26.5;12.2
2020-10-29;11.2;13.8;10.4
2020-10-30;21.8;16.5;14.7
2020-10-31;17.1;12.0;11.1
2020-11-01;34.6;16.3;23.5
2020-11-02;14.0;15.6;8.7
2020-11-03;17.6;23.0;16.7
2020-11-04;15.6;22.7;14.4
2020-11-05;12.5;20.0;10.9
2020-11-06;7.6;18.5;6.2
2020-11-07;11.4;26.3;8.6
2020-11-08;23.6;27.4;24.2
2020-11-09;24.9;34.5;17.1
2020-11-10;33.8;57.5;28.4
2020-11-11;36.6;33.4;33.3
2020-11-12;33.0;40.5;26.4
2020-11-13;32.7;37.7;28.7
2020-11-14;32.5;29.0;27.1
2020-11-15;27.8;21.6;18.7
2020-11-16;17.8;20.0;17.6
2020-11-17;11.1;17.2;10.9
2020-11-18;9.6;17.8;11.7
2020-11-19;11.6;15.2;10.7
2020-11-20;8.0;20.0;10.0
2020-11-21;11.2;19.6;12.4
2020-11-22;9.1;14.5;11.5
2020-11-23;10.8;17.4;11.1
2020-11-24;17.4;27.6;18.7
2020-11-25;34.5;29.4;26.9
2020-11-26;25.9;33.4;22.7
2020-11-27;14.2;18.5;10.0
2020-11-28;8.9;26.7;6.0
2020-11-29;10.9;8.0;13.6
2020-11-30;9.2;18.1;10.7
2020-12-01;46.6;31.6;31.3
2020-12-02;53.0;56.4;42.0
2020-12-03;45.7;51.0;36.9
2020-12-04;49.4;45.5;34.2
2020-12-05;29.2;33.2;23.3
2020-12-06;24.5;24.3;21.6
2020-12-07;26.7;22.7;20.6
2020-12-08;35.2;25.8;28.0
2020-12-09;38.3;42.1;32.0
2020-12-10;39.9;43.5;31.6
2020-12-11;38.1;23.6;29.6
2020-12-12;25.9;31.0;20.4
2020-12-13;41.7;42.8;30.9
2020-12-14;41.9;29.0;26.4
2020-12-15;48.8;33.4;38.7
2020-12-16;20.3;22.5;18.7
2020-12-17;27.2;25.6;18.0
2020-12-18;23.4;26.0;23.5
2020-12-19;25.8;24.3;18.7
2020-12-20;30.3;24.3;23.3
2020-12-21;24.7;22.9;22.6
2020-12-22;16.0;13.1;11.5
2020-12-23;21.8;27.8;19.6
2020-12-24;8.9;9.6;5.8
2020-12-25;5.6;6.0;2.7
2020-12-26;7.8;13.6;15.6
2020-12-27;15.8;11.2;11.5
2020-12-28;20.1;18.5;16.0
2020-12-29;17.1;28.5;19.1
2020-12-30;15.4;20.7;15.8
2020-12-31;21.4;24.7;